ordinal,turn_id,classe_turno,inicio,fim,latencia_segundos,trecho_usuario,nivel_acesso,input_tokens,cached_input_tokens,uncached_input_tokens_aprox,output_tokens,reasoning_output_tokens,tokens_totais,inference_events,tool_calls,tool_output_bytes,read_search_calls,write_calls,dice_calls,other_calls,routed_context_calls,raw_read_calls,schema_discovery_calls,orchestration_calls,prepare_calls,conclude_calls,par_preparar_concluir_exato,decisao_oportunidade,decisao_sem_oportunidade,decisao_ausente,modulos_observados,quantidade_modulos_observados,interaction_id,interaction_ref,referencia_visivel_exatamente_uma_vez
1,01a09f69-4507-7741-a426-c4ec8b23b356,fronteira_temporal,2026-09-14T10:14:31.475000+00:00,2026-09-14T10:21:17.955000+00:00,406.48,"Ren vai em direção ao circo, disfarçado de Tanaka. A idéia é voltar, comer, e se preparar pra abordar Darran à noite, mas como Ren Kagehira.",L3+RAW,1093431,1034880,58551,14874,8137,1108305,22,20,128283,11,4,0,5,3,8,0,6,3,3,nao,0,3,0,"[""active_sidequest_reassessment"", ""emergent_sidequest_opportunity"", ""liveness_boundary"", ""persistent_world_conditions"", ""reactive_pressure_routing"", ""transactional_sidequest_progress"", ""world_local_incidents""]",7,interaction-9d87fd8ecd8cc24d73b2,S022-I0003,sim
2,01a09fa4-8c78-7350-baf1-97e79911cd04,avanco_comum,2026-09-14T11:19:16.391000+00:00,2026-09-14T11:23:18.358000+00:00,241.967,"[AVALIAÇÃO S022-I0003 — registrando que não tivemos nada do Mundo Vivo nessa interação. Nenhum NPC puxou Ren pra uma conversa quando ele chegou no circo, nem sequer Dessa, que recebe as roupas. E um outro registro importante: ""Vell"" é també",L3+RAW,1508040,1481216,26824,8836,4150,1516876,13,12,56813,8,2,0,2,4,4,2,3,1,2,nao,0,1,0,"[""active_sidequest_reassessment"", ""emergent_sidequest_opportunity"", ""npc_social_initiative"", ""reactive_pressure_routing"", ""transactional_sidequest_progress""]",5,interaction-632d5f72e037c0c9ffa3,S022-I0005,sim
3,01a09fac-b594-79d2-b2b2-14298417e0e4,avanco_comum,2026-09-14T11:28:11.204000+00:00,2026-09-14T11:30:49.747000+00:00,158.543,"""Comi e descansei"", Ren fala. ""Voltei as 2 da tarde, na verdade. Esse Kagehira paramentado irá ter uma conversinha com um homem das docas.""

Ren conta sobre a visita a Tomas. Sobre o que ele pediu pra investigar. Vai falando isso enquanto c",RAW,941756,924800,16956,5960,3066,947716,7,6,33149,1,2,0,3,0,1,0,4,3,1,nao,0,3,0,"[""active_sidequest_reassessment"", ""emergent_sidequest_opportunity"", ""reactive_pressure_routing"", ""transactional_sidequest_progress""]",4,interaction-3544f807438d84ab5581,S022-I0006,sim
4,01a09fbf-f80f-74f0-aa52-ff894dde16f1,fronteira_temporal,2026-09-14T11:49:13.441000+00:00,2026-09-14T11:53:09.295000+00:00,235.854,"""Vou vigia-lo por um tempo. Pretendo aborda-lo quando ele ficar sozinho. Tudo que quero é saber se ele deu ou não o selo de urgência para o pedido das cópias em posse de Tomas. Se foi ele, ele vai ter que me dizer porque. Se não foi, ele va",UNCLASSIFIED,1238668,1211776,26892,7920,4762,1246588,8,7,59957,1,1,0,5,1,0,0,4,3,1,nao,0,3,0,"[""active_sidequest_reassessment"", ""batch_world_boundary"", ""emergent_sidequest_opportunity"", ""reactive_pressure_routing"", ""transactional_sidequest_progress""]",5,interaction-bbf84e80f27e709caf9b,S022-I0007,sim
5,01a09fcd-f8fa-7a42-b83e-0264e90c89d1,fronteira_temporal,2026-09-14T12:04:31.148000+00:00,2026-09-14T12:13:36.801000+00:00,545.653,"""É sim, Tavin"", Ren responde. ""Mas só usamos em missões."" Ren mostra o pequeno símbolo escondido na roupa.

Ren abraça Nera com carinho, e dá um leve beijo nos seus lábios. ""Eu sempre voltarei. Tenho cumprido essa promessa impossível todas ",RAW,2494211,2404608,89603,18518,5595,2512729,26,24,222831,12,6,0,6,1,11,1,6,2,4,nao,0,2,0,"[""active_sidequest_reassessment"", ""batch_world_boundary"", ""emergent_sidequest_opportunity"", ""reactive_pressure_routing"", ""transactional_sidequest_progress""]",5,interaction-f3791657ed4347698258,S022-I0008,sim
6,01a09fdb-ea83-77b0-b5c3-93c59f47a10f,fronteira_temporal,2026-09-14T12:19:44.961000+00:00,2026-09-14T12:27:24.703000+00:00,459.742,"Ren se despede carinhoso dos dois. Depois de se afastar da linha de visão deles, pela lateral, começa a caminhar pelas sombras, pulando pras sombras dos tetos da cidade e movendo-se pelo telhado quando a cobertura de sombra permite... apena",L3+RAW,2479036,2421120,57916,16282,8506,2495318,28,27,128133,18,4,1,4,5,13,0,5,2,3,nao,0,2,0,"[""active_sidequest_reassessment"", ""emergent_sidequest_opportunity"", ""liveness_boundary"", ""npc_social_initiative"", ""persistent_world_conditions"", ""reactive_pressure_routing"", ""transactional_sidequest_progress""]",7,interaction-f3fbd6789e09c1ccaef3,S022-I0010,sim
7,01a09fe5-3ebd-7070-9910-12c838086d55,mecanica,2026-09-14T12:29:56.330000+00:00,2026-09-14T12:32:12.033000+00:00,135.703,"Ren usa Ilusão Menor pra tentar fazer Darran pensar que é um gato no telhado. E dá um tempo pra ele se ""desalertar"" se obtiver sucesso.",L3+RAW,1087746,1072896,14850,4562,1886,1092308,9,8,26231,5,1,1,1,2,3,0,2,1,1,sim,0,1,0,"[""active_sidequest_reassessment"", ""emergent_sidequest_opportunity"", ""reactive_pressure_routing"", ""transactional_sidequest_progress""]",4,interaction-7fd759e5b579e31c409b,S022-I0011,sim
8,01a09fea-1d8c-74f2-9b26-93fd268761b0,mecanica,2026-09-14T12:35:15.521000+00:00,2026-09-14T12:37:34.147000+00:00,138.626,"Ren espera mais, até ele sair pra mijar, ou até os outros trabalhadores saírem de forma que pareça que vão demorar. Enquanto espera sua melhor opção, Ren vai estudando as sombras possíveis e montando os cenários. Se tiver que aparecer atrás",L0,916960,905472,11488,4655,1982,921615,7,6,17359,0,2,1,3,0,0,0,3,2,1,nao,0,2,0,"[""active_sidequest_reassessment"", ""emergent_sidequest_opportunity"", ""reactive_pressure_routing"", ""transactional_sidequest_progress""]",4,interaction-971b067e1f374e023862,S022-I0012,sim
9,01a09ff1-2393-7bd0-8256-3705848053df,mecanica,2026-09-14T12:42:55.813000+00:00,2026-09-14T12:48:04.345000+00:00,308.532,"Então Ren fará exatamente isso: Passo Sombrio até a sombra do barril, realizar seu deslocamento e agarrar Darran por trás. Seu objetivo é apenas segurar-lhe a boca e impedir que ele faça barulho. Se Ren conseguir segura-lo, ele irá dizer:

",L3+RAW,1842111,1815936,26175,11857,4782,1853968,12,11,43065,5,3,2,1,2,3,1,4,1,3,nao,0,1,0,"[""active_sidequest_reassessment"", ""emergent_sidequest_opportunity"", ""reactive_pressure_routing"", ""transactional_sidequest_progress""]",4,interaction-afb812724b1435add576,S022-I0013,sim
10,01a0a000-71fb-7f63-bbfd-ad408de308cf,mecanica,2026-09-14T12:59:38.932000+00:00,2026-09-14T13:04:57.925000+00:00,318.993,"Ren tenta nocautear Darran (se gastar um de foco pra atordoar-lo ajudar, ele o fará). Pega Darran, usa Passo do Vento e dá os saltos, tentando fugir dali com Darran.",L2+RAW,2103431,2080384,23047,12198,5435,2115629,11,10,24667,4,2,3,1,1,3,0,3,1,2,nao,0,1,0,"[""active_sidequest_reassessment"", ""emergent_sidequest_opportunity"", ""npc_social_initiative"", ""reactive_pressure_routing"", ""transactional_sidequest_progress""]",5,interaction-2e8ecd06c0bc109fd9b1,S022-I0014,sim
