event_id,session_id,turn_id,turn_ordinal,interaction_id,interaction_ref,analysis_unit,module_id,capability_id,call_ids_observed,signal_sources,eligibility_observed,activation_observed,observed_result,materialized_result_observed,effect_observed,observable_evidence,inference_confidence,adjudication,cost,detector_version,module_implementation_version,module_evaluation_version
ml2:1:context_and_memory:routed_context_access,01a0aac8-9b23-7c12-9520-be10b50ed451,01a0aaca-8cb0-7bf2-aff8-e236a6c3b45d,1,interaction-3e14bb0c2ea62b86903b,S024-I0001,turno,context_and_memory,routed_context_access,"[""call_gMdg2BsAY69H0b7lVHuKdrPf"", ""call_RTH2CrcHlEgvC3R0m0UlsGdd"", ""call_Iosm7oGSIW7fQeBVrdUOPLab"", ""call_PtIFmOCnVECjTnBadXgEGpSA"", ""call_GLh7dqT2nOaPa0N9gbWcg0MG"", ""call_rknFm5BJR7jDwj5qdaTwPfcV"", ""call_lLttHUMslyv9mIhhie8XVHz0"", ""call_sLMuI1ihYMXVmIYI7RLvgf2k""]","[""comando"", ""output""]",sim,consulta,acesso_cru_sem_justificativa,,nao,"[""command:routed_context_l2"", ""command:routed_context_l3"", ""command:raw_read""]",alta,,"{""attribution_class"": ""dominio"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 446336, ""input_tokens"": 472777, ""output_tokens"": 9160, ""total_tokens"": 481937, ""uncached_input_tokens_approx"": 26441}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""primario"", ""parent_attributed_additive"": {""cached_input_tokens"": 74390, ""input_tokens"": 78797, ""output_tokens"": 1527, ""total_tokens"": 80323, ""uncached_input_tokens_approx"": 4407}}",4.6.0,1.0.2,4.0.0
ml2:1:turn_and_session_orchestration:transactional_turn,01a0aac8-9b23-7c12-9520-be10b50ed451,01a0aaca-8cb0-7bf2-aff8-e236a6c3b45d,1,interaction-3e14bb0c2ea62b86903b,S024-I0001,turno,turn_and_session_orchestration,transactional_turn,"[""call_heTmIhJRPNkmhATE4ji0ZWUm"", ""call_JVuVnAtSan8luyPFHtosD78U"", ""call_zNfW44fXxdCCKLxe0Ba7UHBX""]","[""comando"", ""output"", ""ticket""]",sim,efeito,ciclo_concluido_apos_retry,turno_commitado,sim,"[""command:cronica_preparar"", ""command:cronica_concluir"", ""ticket:correlation_present"", ""output:versioned_orchestration_receipt""]",alta,,"{""attribution_class"": ""controle"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 446336, ""input_tokens"": 472777, ""output_tokens"": 9160, ""total_tokens"": 481937, ""uncached_input_tokens_approx"": 26441}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""primario"", ""parent_attributed_additive"": {""cached_input_tokens"": 74389, ""input_tokens"": 78796, ""output_tokens"": 1526, ""total_tokens"": 80322, ""uncached_input_tokens_approx"": 4406}}",4.6.0,1.0.2,4.0.0
ml2:1:turn_and_session_orchestration:idempotent_commit,01a0aac8-9b23-7c12-9520-be10b50ed451,01a0aaca-8cb0-7bf2-aff8-e236a6c3b45d,1,interaction-3e14bb0c2ea62b86903b,S024-I0001,turno,turn_and_session_orchestration,idempotent_commit,"[""call_zNfW44fXxdCCKLxe0Ba7UHBX""]","[""output""]",sim,efeito,commit_exatamente_uma_vez,idempotencia_preservada,sim,"[""output:exactly_once_receipt""]",alta,,"{""attribution_class"": ""controle"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 446336, ""input_tokens"": 472777, ""output_tokens"": 9160, ""total_tokens"": 481937, ""uncached_input_tokens_approx"": 26441}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""exposicao_apenas"", ""parent_attributed_additive"": {""cached_input_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 0, ""total_tokens"": 0, ""uncached_input_tokens_approx"": 0}}",4.6.0,1.0.2,4.0.0
ml2:1:narrative_delivery:narrative_density,01a0aac8-9b23-7c12-9520-be10b50ed451,01a0aaca-8cb0-7bf2-aff8-e236a6c3b45d,1,interaction-3e14bb0c2ea62b86903b,S024-I0001,turno,narrative_delivery,narrative_density,[],"[""resposta""]",sim,consulta,densidade_nao_avaliada,,,"[""response:size_observed_without_quality_judgment""]",alta,,"{""attribution_class"": ""dominio"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 446336, ""input_tokens"": 472777, ""output_tokens"": 9160, ""total_tokens"": 481937, ""uncached_input_tokens_approx"": 26441}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""primario"", ""parent_attributed_additive"": {""cached_input_tokens"": 74390, ""input_tokens"": 78796, ""output_tokens"": 1527, ""total_tokens"": 80323, ""uncached_input_tokens_approx"": 4407}}",4.6.0,1.0.2,4.0.0
ml2:1:narrative_delivery:diegetic_mechanics,01a0aac8-9b23-7c12-9520-be10b50ed451,01a0aaca-8cb0-7bf2-aff8-e236a6c3b45d,1,interaction-3e14bb0c2ea62b86903b,S024-I0001,turno,narrative_delivery,diegetic_mechanics,[],"[""resposta""]",sim,efeito,mecanica_exposta,mecanica_exposta,sim,"[""response:diegetic_mechanics""]",alta,,"{""attribution_class"": ""dominio"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 446336, ""input_tokens"": 472777, ""output_tokens"": 9160, ""total_tokens"": 481937, ""uncached_input_tokens_approx"": 26441}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""exposicao_apenas"", ""parent_attributed_additive"": {""cached_input_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 0, ""total_tokens"": 0, ""uncached_input_tokens_approx"": 0}}",4.6.0,1.0.2,4.0.0
ml2:1:narrative_delivery:visible_closure,01a0aac8-9b23-7c12-9520-be10b50ed451,01a0aaca-8cb0-7bf2-aff8-e236a6c3b45d,1,interaction-3e14bb0c2ea62b86903b,S024-I0001,turno,narrative_delivery,visible_closure,[],"[""output"", ""resposta""]",sim,efeito,entrega_correlacionada,entrega_visivel,sim,"[""response:canonical_footer_is_last_line"", ""output:narrative_delivery_receipt""]",alta,,"{""attribution_class"": ""dominio"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 446336, ""input_tokens"": 472777, ""output_tokens"": 9160, ""total_tokens"": 481937, ""uncached_input_tokens_approx"": 26441}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""exposicao_apenas"", ""parent_attributed_additive"": {""cached_input_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 0, ""total_tokens"": 0, ""uncached_input_tokens_approx"": 0}}",4.6.0,1.0.2,4.0.0
ml2:1:rules_and_character_state:rules_resolution,01a0aac8-9b23-7c12-9520-be10b50ed451,01a0aaca-8cb0-7bf2-aff8-e236a6c3b45d,1,interaction-3e14bb0c2ea62b86903b,S024-I0001,evento,rules_and_character_state,rules_resolution,"[""call_66JS1RbDX7ktNtiy2COtQzso""]","[""comando""]",sim,decisao,parametros_predefinidos,,sim,"[""command:cd_predefined""]",alta,,"{""attribution_class"": ""dominio"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 446336, ""input_tokens"": 472777, ""output_tokens"": 9160, ""total_tokens"": 481937, ""uncached_input_tokens_approx"": 26441}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""primario"", ""parent_attributed_additive"": {""cached_input_tokens"": 74389, ""input_tokens"": 78796, ""output_tokens"": 1527, ""total_tokens"": 80323, ""uncached_input_tokens_approx"": 4407}}",4.6.0,1.0.1,4.0.0
ml2:1:rules_and_character_state:roll_execution,01a0aac8-9b23-7c12-9520-be10b50ed451,01a0aaca-8cb0-7bf2-aff8-e236a6c3b45d,1,interaction-3e14bb0c2ea62b86903b,S024-I0001,evento,rules_and_character_state,roll_execution,"[""call_66JS1RbDX7ktNtiy2COtQzso""]","[""comando"", ""output""]",sim,decisao,indeterminado,,nao,"[""command:dice"", ""output:dice_result""]",alta,,"{""attribution_class"": ""dominio"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 446336, ""input_tokens"": 472777, ""output_tokens"": 9160, ""total_tokens"": 481937, ""uncached_input_tokens_approx"": 26441}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""exposicao_apenas"", ""parent_attributed_additive"": {""cached_input_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 0, ""total_tokens"": 0, ""uncached_input_tokens_approx"": 0}}",4.6.0,1.0.1,4.0.0
ml2:1:rules_and_character_state:character_time_state,01a0aac8-9b23-7c12-9520-be10b50ed451,01a0aaca-8cb0-7bf2-aff8-e236a6c3b45d,1,interaction-3e14bb0c2ea62b86903b,S024-I0001,evento,rules_and_character_state,character_time_state,"[""call_zNfW44fXxdCCKLxe0Ba7UHBX""]","[""output""]",sim,efeito,estado_commitado,estado_commitado,sim,"[""output:rules_state_commit_receipt""]",alta,,"{""attribution_class"": ""dominio"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 446336, ""input_tokens"": 472777, ""output_tokens"": 9160, ""total_tokens"": 481937, ""uncached_input_tokens_approx"": 26441}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""exposicao_apenas"", ""parent_attributed_additive"": {""cached_input_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 0, ""total_tokens"": 0, ""uncached_input_tokens_approx"": 0}}",4.6.0,1.0.1,4.0.0
ml2:1:sidequest_authoring:opportunity_gate,01a0aac8-9b23-7c12-9520-be10b50ed451,01a0aaca-8cb0-7bf2-aff8-e236a6c3b45d,1,interaction-3e14bb0c2ea62b86903b,S024-I0001,evento,sidequest_authoring,opportunity_gate,"[""call_heTmIhJRPNkmhATE4ji0ZWUm"", ""call_JVuVnAtSan8luyPFHtosD78U""]","[""comando"", ""output""]",indeterminada,gate_neutro,indeterminado,,,"[""command:sidequest_gate_sem_oportunidade"", ""output:objective_sidequest_opportunity_assessment""]",alta,,"{""attribution_class"": ""dominio"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 446336, ""input_tokens"": 472777, ""output_tokens"": 9160, ""total_tokens"": 481937, ""uncached_input_tokens_approx"": 26441}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""primario"", ""parent_attributed_additive"": {""cached_input_tokens"": 74389, ""input_tokens"": 78796, ""output_tokens"": 1526, ""total_tokens"": 80323, ""uncached_input_tokens_approx"": 4407}}",4.6.0,2.0.1,4.0.0
