event_id,session_id,turn_id,turn_ordinal,interaction_id,interaction_ref,analysis_unit,module_id,capability_id,call_ids_observed,signal_sources,eligibility_observed,activation_observed,observed_result,materialized_result_observed,effect_observed,observable_evidence,inference_confidence,adjudication,cost,detector_version,module_implementation_version,module_evaluation_version
ml2:1:context_and_memory:routed_context_access,01a0a4d6-9ecd-7991-a7be-aeb9c5c61c5b,01a0a565-c402-7733-982a-16535e5de30b,1,interaction-ad8fcc4e0a01bf29caba,S023-I0005,turno,context_and_memory,routed_context_access,"[""call_suKSchkpuk4drpIKk7pQX7aS"", ""call_ejWebVpn1O3jisWlXRKzd9Ah"", ""call_fDiSjh5vXSZN1X72sLiRfo3v"", ""call_0nl4l2gSMR3bu7KMm3G39QjV"", ""call_r5xK9rPFQDOp9OFHJcyQms23"", ""call_8MReOV8IjNgENwDgP5Es9Zmv"", ""call_aUfp9fMqzO70gkl8QpkwQtZ7"", ""call_FpbQWPcEKFw5mn5134AuX6TB"", ""call_r6EmOQWTZ01NwTq0ERGU9xqF"", ""call_XwaCZvTVsTTElGu9hoRB2rXf"", ""call_Y8JzDADQwptFAsSxq9OCY31F"", ""call_MPERdgiYZbnz3bpT5OdsTxtX"", ""call_0N20u1auOFupBE3C5eJWiGip"", ""call_m0scwzFAtOXHqwTuCf9PirM3"", ""call_QPJGA0MtZF6OWh0rVsrCdAim"", ""call_gYNJ588p8iyw93pBQwlBdMFE"", ""call_zexWgiF74eDtCPdQIAxxNvk8"", ""call_QH3XYezmxZIoKBn012KR2rgS"", ""call_A5S18wemWeSSE1eNOydPQsra"", ""call_x1z7XqGYozos780kfjIJsj0H""]","[""comando"", ""output""]",sim,consulta,acesso_cru_sem_justificativa,,nao,"[""command:routed_context_l2"", ""command:raw_read""]",alta,,"{""attribution_class"": ""dominio"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 4174592, ""input_tokens"": 4295319, ""output_tokens"": 30027, ""total_tokens"": 4325346, ""uncached_input_tokens_approx"": 120727}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""primario"", ""parent_attributed_additive"": {""cached_input_tokens"": 596371, ""input_tokens"": 613617, ""output_tokens"": 4290, ""total_tokens"": 617907, ""uncached_input_tokens_approx"": 17247}}",4.2.0,1.0.2,4.0.0
ml2:1:context_and_memory:scene_and_durable_memory,01a0a4d6-9ecd-7991-a7be-aeb9c5c61c5b,01a0a565-c402-7733-982a-16535e5de30b,1,interaction-ad8fcc4e0a01bf29caba,S023-I0005,turno,context_and_memory,scene_and_durable_memory,"[""call_suKSchkpuk4drpIKk7pQX7aS"", ""call_8MReOV8IjNgENwDgP5Es9Zmv"", ""call_IdzUpJSVECHC9JdZ0wVeFIeb""]","[""comando"", ""output""]",sim,efeito,memoria_persistida,memoria_persistida,sim,"[""command:scene_or_memory_context"", ""output:durable_memory_receipt""]",alta,,"{""attribution_class"": ""dominio"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 4174592, ""input_tokens"": 4295319, ""output_tokens"": 30027, ""total_tokens"": 4325346, ""uncached_input_tokens_approx"": 120727}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""exposicao_apenas"", ""parent_attributed_additive"": {""cached_input_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 0, ""total_tokens"": 0, ""uncached_input_tokens_approx"": 0}}",4.2.0,1.0.2,4.0.0
ml2:1:context_and_memory:knowledge_layer_separation,01a0a4d6-9ecd-7991-a7be-aeb9c5c61c5b,01a0a565-c402-7733-982a-16535e5de30b,1,interaction-ad8fcc4e0a01bf29caba,S023-I0005,turno,context_and_memory,knowledge_layer_separation,"[""call_IdzUpJSVECHC9JdZ0wVeFIeb""]","[""output""]",sim,consulta,camadas_preservadas,,sim,"[""output:knowledge_destinations""]",alta,,"{""attribution_class"": ""dominio"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 4174592, ""input_tokens"": 4295319, ""output_tokens"": 30027, ""total_tokens"": 4325346, ""uncached_input_tokens_approx"": 120727}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""exposicao_apenas"", ""parent_attributed_additive"": {""cached_input_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 0, ""total_tokens"": 0, ""uncached_input_tokens_approx"": 0}}",4.2.0,1.0.2,4.0.0
ml2:1:turn_and_session_orchestration:transactional_turn,01a0a4d6-9ecd-7991-a7be-aeb9c5c61c5b,01a0a565-c402-7733-982a-16535e5de30b,1,interaction-ad8fcc4e0a01bf29caba,S023-I0005,turno,turn_and_session_orchestration,transactional_turn,"[""call_w0DZAIhestwFNqDkpaZha7es"", ""call_zVETiE6CC9M8sSGDDYQGRqOT"", ""call_mKLUnHr2km1ubLJt7kchhWV8"", ""call_i7xhTbEYs19p2V7rbZCQDDHP"", ""call_IdzUpJSVECHC9JdZ0wVeFIeb"", ""call_9OKT3ENsA2hcxL2ZaL9WkVLF"", ""call_JoJdzoCaUwHenRbcbtYOtUB7"", ""call_GbCbMNDfJp4oRu0GUB3f2YA0"", ""call_1DFl1sWnLEuGR5BLdw2ZSIu7"", ""call_0TtiluKnccdk6uEy2usWY9bC"", ""call_Yjbt299WokJCgv1SDbMvoX5J"", ""call_2EAKGuVCezwTOlVBuF2kOmJe"", ""call_zanEvmgqTrC0n6kjj4fhrmZa"", ""call_0mToLbFA7c0aB85CzJHWJZkx"", ""call_QxGreOQwDqa7WILaEOwYBGt5"", ""call_fL73kZxnblah6E5u1xxBHtEe"", ""call_wlT0xzjUV6uUvo1x14k9sqW9"", ""call_x1z7XqGYozos780kfjIJsj0H"", ""call_uXWkLERqR1jXqOQCwEL80END""]","[""comando"", ""output"", ""ticket""]",sim,efeito,ciclo_concluido_apos_retry,turno_commitado,sim,"[""command:cronica_preparar"", ""command:cronica_concluir"", ""ticket:correlation_present"", ""output:versioned_orchestration_receipt""]",alta,,"{""attribution_class"": ""controle"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 4174592, ""input_tokens"": 4295319, ""output_tokens"": 30027, ""total_tokens"": 4325346, ""uncached_input_tokens_approx"": 120727}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""primario"", ""parent_attributed_additive"": {""cached_input_tokens"": 596370, ""input_tokens"": 613617, ""output_tokens"": 4289, ""total_tokens"": 617906, ""uncached_input_tokens_approx"": 17246}}",4.2.0,1.0.2,4.0.0
ml2:1:turn_and_session_orchestration:idempotent_commit,01a0a4d6-9ecd-7991-a7be-aeb9c5c61c5b,01a0a565-c402-7733-982a-16535e5de30b,1,interaction-ad8fcc4e0a01bf29caba,S023-I0005,turno,turn_and_session_orchestration,idempotent_commit,"[""call_IdzUpJSVECHC9JdZ0wVeFIeb"", ""call_0mToLbFA7c0aB85CzJHWJZkx"", ""call_wlT0xzjUV6uUvo1x14k9sqW9"", ""call_uXWkLERqR1jXqOQCwEL80END""]","[""output""]",sim,efeito,commit_exatamente_uma_vez,idempotencia_preservada,sim,"[""output:exactly_once_receipt""]",alta,,"{""attribution_class"": ""controle"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 4174592, ""input_tokens"": 4295319, ""output_tokens"": 30027, ""total_tokens"": 4325346, ""uncached_input_tokens_approx"": 120727}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""exposicao_apenas"", ""parent_attributed_additive"": {""cached_input_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 0, ""total_tokens"": 0, ""uncached_input_tokens_approx"": 0}}",4.2.0,1.0.2,4.0.0
ml2:1:narrative_delivery:narrative_density,01a0a4d6-9ecd-7991-a7be-aeb9c5c61c5b,01a0a565-c402-7733-982a-16535e5de30b,1,interaction-ad8fcc4e0a01bf29caba,S023-I0005,turno,narrative_delivery,narrative_density,[],"[""resposta""]",sim,consulta,densidade_nao_avaliada,,,"[""response:size_observed_without_quality_judgment""]",alta,,"{""attribution_class"": ""dominio"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 4174592, ""input_tokens"": 4295319, ""output_tokens"": 30027, ""total_tokens"": 4325346, ""uncached_input_tokens_approx"": 120727}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""primario"", ""parent_attributed_additive"": {""cached_input_tokens"": 596371, ""input_tokens"": 613617, ""output_tokens"": 4290, ""total_tokens"": 617907, ""uncached_input_tokens_approx"": 17247}}",4.2.0,1.0.2,4.0.0
ml2:1:narrative_delivery:diegetic_mechanics,01a0a4d6-9ecd-7991-a7be-aeb9c5c61c5b,01a0a565-c402-7733-982a-16535e5de30b,1,interaction-ad8fcc4e0a01bf29caba,S023-I0005,turno,narrative_delivery,diegetic_mechanics,[],"[""resposta""]",sim,efeito,mecanica_exposta,mecanica_exposta,sim,"[""response:diegetic_mechanics""]",alta,,"{""attribution_class"": ""dominio"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 4174592, ""input_tokens"": 4295319, ""output_tokens"": 30027, ""total_tokens"": 4325346, ""uncached_input_tokens_approx"": 120727}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""exposicao_apenas"", ""parent_attributed_additive"": {""cached_input_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 0, ""total_tokens"": 0, ""uncached_input_tokens_approx"": 0}}",4.2.0,1.0.2,4.0.0
ml2:1:narrative_delivery:visible_closure,01a0a4d6-9ecd-7991-a7be-aeb9c5c61c5b,01a0a565-c402-7733-982a-16535e5de30b,1,interaction-ad8fcc4e0a01bf29caba,S023-I0005,turno,narrative_delivery,visible_closure,[],"[""output"", ""resposta""]",sim,efeito,entrega_correlacionada,entrega_visivel,sim,"[""response:canonical_footer_is_last_line"", ""output:narrative_delivery_receipt""]",alta,,"{""attribution_class"": ""dominio"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 4174592, ""input_tokens"": 4295319, ""output_tokens"": 30027, ""total_tokens"": 4325346, ""uncached_input_tokens_approx"": 120727}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""exposicao_apenas"", ""parent_attributed_additive"": {""cached_input_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 0, ""total_tokens"": 0, ""uncached_input_tokens_approx"": 0}}",4.2.0,1.0.2,4.0.0
ml2:1:rules_and_character_state:rules_resolution,01a0a4d6-9ecd-7991-a7be-aeb9c5c61c5b,01a0a565-c402-7733-982a-16535e5de30b,1,interaction-ad8fcc4e0a01bf29caba,S023-I0005,evento,rules_and_character_state,rules_resolution,"[""call_fDiSjh5vXSZN1X72sLiRfo3v"", ""call_FxFz3XmPWwojxfW3BfqfL2qt""]","[""comando""]",sim,decisao,parametros_predefinidos,,sim,"[""command:rule_query"", ""command:cd_predefined""]",alta,,"{""attribution_class"": ""dominio"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 4174592, ""input_tokens"": 4295319, ""output_tokens"": 30027, ""total_tokens"": 4325346, ""uncached_input_tokens_approx"": 120727}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""primario"", ""parent_attributed_additive"": {""cached_input_tokens"": 596370, ""input_tokens"": 613617, ""output_tokens"": 4290, ""total_tokens"": 617907, ""uncached_input_tokens_approx"": 17247}}",4.2.0,1.0.1,4.0.0
ml2:1:rules_and_character_state:roll_execution,01a0a4d6-9ecd-7991-a7be-aeb9c5c61c5b,01a0a565-c402-7733-982a-16535e5de30b,1,interaction-ad8fcc4e0a01bf29caba,S023-I0005,evento,rules_and_character_state,roll_execution,"[""call_FxFz3XmPWwojxfW3BfqfL2qt""]","[""comando"", ""output""]",sim,efeito,rolagem_resolvida,rolagem_resolvida,sim,"[""command:dice"", ""output:dice_result""]",alta,,"{""attribution_class"": ""dominio"", ""capability_cost_mode"": ""exposicao_apenas"", ""exposed_non_additive"": {""cached_input_tokens"": 4174592, ""input_tokens"": 4295319, ""output_tokens"": 30027, ""total_tokens"": 4325346, ""uncached_input_tokens_approx"": 120727}, ""marginal_cost"": null, ""marginal_cost_status"": ""indeterminado"", ""parent_allocation_role"": ""exposicao_apenas"", ""parent_attributed_additive"": {""cached_input_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 0, ""total_tokens"": 0, ""uncached_input_tokens_approx"": 0}}",4.2.0,1.0.1,4.0.0
